image_id,wafer_id,die_id,pattern_position,sample_id,roi_y_fraction,outer_manual_um,inner_manual_um,gap_manual_um,operator,measurement_date,measurement_available,unavailable_reason,note
w1_11_c,w1,11,center,Y10,0.10,,,,,,,,
w1_11_c,w1,11,center,Y50,0.50,,,,,,,,
w1_11_c,w1,11,center,Y90,0.90,,,,,,,,
w2_25_c,w2,25,center,Y10,0.10,,,,,,,,
w2_25_c,w2,25,center,Y50,0.50,,,,,,,,
w2_25_c,w2,25,center,Y90,0.90,,,,,,,,
w3_37_c,w3,37,center,Y10,0.10,,,,,,,,
w3_37_c,w3,37,center,Y50,0.50,,,,,,,,
w3_37_c,w3,37,center,Y90,0.90,,,,,,,,
w1_13_lt,w1,13,left-top,Y10,0.10,,,,,,,,
w1_13_lt,w1,13,left-top,Y50,0.50,,,,,,,,
w1_13_lt,w1,13,left-top,Y90,0.90,,,,,,,,
w2_26_lt,w2,26,left-top,Y10,0.10,,,,,,,,
w2_26_lt,w2,26,left-top,Y50,0.50,,,,,,,,
w2_26_lt,w2,26,left-top,Y90,0.90,,,,,,,,
w3_38_lt,w3,38,left-top,Y10,0.10,,,,,,,,
w3_38_lt,w3,38,left-top,Y50,0.50,,,,,,,,
w3_38_lt,w3,38,left-top,Y90,0.90,,,,,,,,
w1_25_rb,w1,25,right-bottom,Y10,0.10,,,,,,,,
w1_25_rb,w1,25,right-bottom,Y50,0.50,,,,,,,,
w1_25_rb,w1,25,right-bottom,Y90,0.90,,,,,,,,
w2_38_rb,w2,38,right-bottom,Y10,0.10,,,,,,,,
w2_38_rb,w2,38,right-bottom,Y50,0.50,,,,,,,,
w2_38_rb,w2,38,right-bottom,Y90,0.90,,,,,,,,
w3_11_rb,w3,11,right-bottom,Y10,0.10,,,,,,,,
w3_11_rb,w3,11,right-bottom,Y50,0.50,,,,,,,,
w3_11_rb,w3,11,right-bottom,Y90,0.90,,,,,,,,
